ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001298586,Отдел УФМС России по Московской области в Люберецком районе,46000000000,Вашконтроль.ру,2,839812,10000000611,"Выдача, замена паспорта гражданина Российской Федерации, удостоверяющего личность гражданина Российской Федерации на территории Российской Федерации",2014-01-27 00:00:00 UTC,37,"Время ожидания ответа на подачу заявления, время предоставления государственной услуги",5,баллы,2014-03-10 14:19:30 UTC,""
10001298586,Отдел УФМС России по Московской области в Люберецком районе,46000000000,Вашконтроль.ру,2,839813,10000000611,"Выдача, замена паспорта гражданина Российской Федерации, удостоверяющего личность гражданина Российской Федерации на территории Российской Федерации",2014-01-27 00:00:00 UTC,38,"Удобство процедур предоставления государственной услуги, включая процедуры и доступность информации при подаче заявления, записи на прием, подачи заявления, оплаты обязательных платежей, информирования заявителя о ходе предоставления госуслуги",5,баллы,2014-03-10 14:19:30 UTC,""
10000001022,Федеральная миграционная служба,,Вашконтроль.ру,2,882298,10000008589,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации",2014-01-15 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2014-03-15 06:14:48 UTC,""
10000001022,Федеральная миграционная служба,,Вашконтроль.ру,2,882299,10000008589,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации",2014-01-15 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-03-15 06:14:48 UTC,""
10000001022,Федеральная миграционная служба,,Вашконтроль.ру,2,882300,10000008589,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации",2014-01-15 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-03-15 06:14:48 UTC,""
10000001022,Федеральная миграционная служба,,Вашконтроль.ру,2,882301,10000008589,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации",2014-01-15 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",4,баллы,2014-03-15 06:14:48 UTC,""
10000001022,Федеральная миграционная служба,,Вашконтроль.ру,2,882302,10000008589,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации",2014-01-15 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2014-03-15 06:14:48 UTC,""
10000001022,Федеральная миграционная служба,,Виджеты,3,883625,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2014-01-30 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2014-03-17 05:36:14 UTC,Самое отвратительное место. Эти гады на телефоны не отвечают! Второй месяц жду паспорт!
10000001022,Федеральная миграционная служба,,Виджеты,3,883626,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2014-01-30 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2014-03-17 05:36:15 UTC,Самое отвратительное место. Эти гады на телефоны не отвечают! Второй месяц жду паспорт!
10000001022,Федеральная миграционная служба,,Виджеты,3,883627,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2014-01-30 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2014-03-17 05:36:15 UTC,Самое отвратительное место. Эти гады на телефоны не отвечают! Второй месяц жду паспорт!
10000001022,Федеральная миграционная служба,,Виджеты,3,883628,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2014-01-30 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",1,баллы,2014-03-17 05:36:15 UTC,Самое отвратительное место. Эти гады на телефоны не отвечают! Второй месяц жду паспорт!
10000001022,Федеральная миграционная служба,,Виджеты,3,883629,10001959166,"Оформление и выдача паспортов гражданина Российской Федерации, удостоверяющих личность гражданина Российской Федерации за пределами территории Российской Федерации, содержащих электронные носители информации, и их учет",2014-01-30 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2014-03-17 05:36:16 UTC,Самое отвратительное место. Эти гады на телефоны не отвечают! Второй месяц жду паспорт!
10001023232,Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Тверской области,28000000000,Вашконтроль.ру,2,884036,10000015113,"Государственная регистрация впервые внедряемых в производство и ранее не использовавшихся химических, биологических веществ и изготовляемых на их основе препаратов, потенциально опасных для человека (кроме лекарственных средств); отдельных видов продукции, представляющих потенциальную опасность для человека (кроме лекарственных средств); отдельных видов продукции, в том числе пищевых продуктов, впервые ввозимых на таможенную территорию таможенного союза",2014-01-15 00:00:00 UTC,9,Время предоставления государственной услуги,5,баллы,2014-03-17 08:11:50 UTC,""
10001023232,Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Тверской области,28000000000,Вашконтроль.ру,2,884037,10000015113,"Государственная регистрация впервые внедряемых в производство и ранее не использовавшихся химических, биологических веществ и изготовляемых на их основе препаратов, потенциально опасных для человека (кроме лекарственных средств); отдельных видов продукции, представляющих потенциальную опасность для человека (кроме лекарственных средств); отдельных видов продукции, в том числе пищевых продуктов, впервые ввозимых на таможенную территорию таможенного союза",2014-01-15 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,5,баллы,2014-03-17 08:11:50 UTC,""
10001023232,Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Тверской области,28000000000,Вашконтроль.ру,2,884038,10000015113,"Государственная регистрация впервые внедряемых в производство и ранее не использовавшихся химических, биологических веществ и изготовляемых на их основе препаратов, потенциально опасных для человека (кроме лекарственных средств); отдельных видов продукции, представляющих потенциальную опасность для человека (кроме лекарственных средств); отдельных видов продукции, в том числе пищевых продуктов, впервые ввозимых на таможенную территорию таможенного союза",2014-01-15 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",5,баллы,2014-03-17 08:11:50 UTC,""
10001023232,Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Тверской области,28000000000,Вашконтроль.ру,2,884039,10000015113,"Государственная регистрация впервые внедряемых в производство и ранее не использовавшихся химических, биологических веществ и изготовляемых на их основе препаратов, потенциально опасных для человека (кроме лекарственных средств); отдельных видов продукции, представляющих потенциальную опасность для человека (кроме лекарственных средств); отдельных видов продукции, в том числе пищевых продуктов, впервые ввозимых на таможенную территорию таможенного союза",2014-01-15 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2014-03-17 08:11:50 UTC,""
10001023232,Управление Федеральной службы по надзору в сфере защиты прав потребителей и благополучия человека по Тверской области,28000000000,Вашконтроль.ру,2,884040,10000015113,"Государственная регистрация впервые внедряемых в производство и ранее не использовавшихся химических, биологических веществ и изготовляемых на их основе препаратов, потенциально опасных для человека (кроме лекарственных средств); отдельных видов продукции, представляющих потенциальную опасность для человека (кроме лекарственных средств); отдельных видов продукции, в том числе пищевых продуктов, впервые ввозимых на таможенную территорию таможенного союза",2014-01-15 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2014-03-17 08:11:50 UTC,""
