ID ведомства из ФРГУ,Название ведомства,Код ОКАТО региона предоставления,Источник получения данных с оценками,Идентификатор источника получения данных,Идентификатор в ИАС МКГУ,ID услуги из ФРГУ,Название услуги,Дата получения услуги,Идентификатор оцениваемого критерия (показателя),Наименование оцениваемого критерия (показателя),Значение показателя,Единицы измерения оценки (показателя),Дата и время получения оценки,"Мнение получателя услуги, выраженное в текстовом комментарии"
10001739716,,,Телефонный центр,4,502564,10000011206,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",5,баллы,2013-11-11 14:22:05 UTC,
10001739716,,,Телефонный центр,4,502565,10000011206,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,5,баллы,2013-11-11 14:22:05 UTC,
10001737813,,,Телефонный центр,4,502645,10000012269,,2013-11-12 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-11-11 14:22:16 UTC,
10001737813,,,Телефонный центр,4,502646,10000012269,,2013-11-12 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-11-11 14:22:16 UTC,
10001737813,,,Телефонный центр,4,502647,10000012269,,2013-11-12 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",3,баллы,2013-11-11 14:22:16 UTC,
10001737813,,,Телефонный центр,4,502648,10000012269,,2013-11-12 00:00:00 UTC,12,"Комфортность условий в помещении, в котором предоставлена государственная услуга",2,баллы,2013-11-11 14:22:16 UTC,
10001737813,,,Телефонный центр,4,502649,10000012269,,2013-11-12 00:00:00 UTC,13,Доступность информации о порядке предоставления государственной услуги,1,баллы,2013-11-11 14:22:16 UTC,
10001737673,,,Телефонный центр,4,502736,10000011206,,2013-11-12 00:00:00 UTC,9,Время предоставления государственной услуги,1,баллы,2013-11-11 14:22:28 UTC,
10001737673,,,Телефонный центр,4,502737,10000011206,,2013-11-12 00:00:00 UTC,10,Время ожидания в очереди при получении государственной услуги,1,баллы,2013-11-11 14:22:28 UTC,
10001737673,,,Телефонный центр,4,502738,10000011206,,2013-11-12 00:00:00 UTC,11,"Вежливость и компетентность сотрудника, взаимодействующего с заявителем при предоставлении государственной услуги",1,баллы,2013-11-11 14:22:28 UTC,
